method,task,correct,n,mean_final_score,median_final_score,std_final_score
CPathAgent,TCGA_BRCA_subtype,False,31,0.5806451612903226,0.5,0.41021892922252273
CPathAgent,TCGA_BRCA_subtype,True,54,0.8981481481481481,1.0,0.22528032075845916
PathAgent,TCGA_BRCA_subtype,False,29,0.6206896551724138,0.5,0.2883194041644336
PathAgent,TCGA_BRCA_subtype,True,57,0.6052631578947368,0.5,0.3237178294173905
Pathology-CoT,TCGA_BRCA_subtype,False,28,0.8214285714285714,1.0,0.27936056994917524
Pathology-CoT,TCGA_BRCA_subtype,True,65,0.8615384615384616,1.0,0.22548025668303234
slide_seek,TCGA_BRCA_subtype,False,42,0.23809523809523808,0.0,0.29710175718617465
slide_seek,TCGA_BRCA_subtype,True,51,0.5882352941176471,0.5,0.3421386028050792
CPathAgent,TCGA_LUNG_Classification,False,224,0.65625,0.5,0.25962416782761066
CPathAgent,TCGA_LUNG_Classification,True,383,0.8629242819843342,1.0,0.2262459672729462
PathAgent,TCGA_LUNG_Classification,False,313,0.7156549520766773,1.0,0.3382330156386667
PathAgent,TCGA_LUNG_Classification,True,490,0.7989795918367347,1.0,0.3098567839769207
Pathology-CoT,TCGA_LUNG_Classification,False,168,0.8779761904761905,1.0,0.24772633037094252
Pathology-CoT,TCGA_LUNG_Classification,True,690,0.9318840579710145,1.0,0.17581884200126893
slide_seek,TCGA_LUNG_Classification,False,508,0.5669291338582677,0.5,0.36004714092189827
slide_seek,TCGA_LUNG_Classification,True,347,0.7636887608069164,1.0,0.3405303513509985
