method,task,score_label,correct,size,total,proportion_of_total
CPathAgent,TCGA_BRCA_subtype,0,False,8,85,0.09411764705882353
CPathAgent,TCGA_BRCA_subtype,0,True,1,85,0.011764705882352941
CPathAgent,TCGA_BRCA_subtype,0.5,False,10,85,0.11764705882352941
CPathAgent,TCGA_BRCA_subtype,0.5,True,9,85,0.10588235294117647
CPathAgent,TCGA_BRCA_subtype,1,False,13,85,0.15294117647058825
CPathAgent,TCGA_BRCA_subtype,1,True,44,85,0.5176470588235295
PathAgent,TCGA_BRCA_subtype,0,False,2,86,0.023255813953488372
PathAgent,TCGA_BRCA_subtype,0,True,7,86,0.08139534883720931
PathAgent,TCGA_BRCA_subtype,0.5,False,18,86,0.20930232558139536
PathAgent,TCGA_BRCA_subtype,0.5,True,31,86,0.36046511627906974
PathAgent,TCGA_BRCA_subtype,1,False,9,86,0.10465116279069768
PathAgent,TCGA_BRCA_subtype,1,True,19,86,0.22093023255813954
Pathology-CoT,TCGA_BRCA_subtype,0,False,1,93,0.010752688172043012
Pathology-CoT,TCGA_BRCA_subtype,0.5,False,8,93,0.08602150537634409
Pathology-CoT,TCGA_BRCA_subtype,0.5,True,18,93,0.1935483870967742
Pathology-CoT,TCGA_BRCA_subtype,1,False,19,93,0.20430107526881722
Pathology-CoT,TCGA_BRCA_subtype,1,True,47,93,0.5053763440860215
slide_seek,TCGA_BRCA_subtype,0,False,24,93,0.25806451612903225
slide_seek,TCGA_BRCA_subtype,0,True,8,93,0.08602150537634409
slide_seek,TCGA_BRCA_subtype,0.5,False,16,93,0.17204301075268819
slide_seek,TCGA_BRCA_subtype,0.5,True,26,93,0.27956989247311825
slide_seek,TCGA_BRCA_subtype,1,False,2,93,0.021505376344086023
slide_seek,TCGA_BRCA_subtype,1,True,17,93,0.1827956989247312
CPathAgent,TCGA_LUNG_Classification,0,False,6,607,0.009884678747940691
CPathAgent,TCGA_LUNG_Classification,0,True,1,607,0.0016474464579901153
CPathAgent,TCGA_LUNG_Classification,0.5,False,142,607,0.23393739703459637
CPathAgent,TCGA_LUNG_Classification,0.5,True,103,607,0.1696869851729819
CPathAgent,TCGA_LUNG_Classification,1,False,76,607,0.12520593080724876
CPathAgent,TCGA_LUNG_Classification,1,True,279,607,0.4596375617792422
PathAgent,TCGA_LUNG_Classification,0,False,33,803,0.0410958904109589
PathAgent,TCGA_LUNG_Classification,0,True,35,803,0.043586550435865505
PathAgent,TCGA_LUNG_Classification,0.5,False,112,803,0.13947696139476962
PathAgent,TCGA_LUNG_Classification,0.5,True,127,803,0.1581569115815691
PathAgent,TCGA_LUNG_Classification,1,False,168,803,0.20921544209215442
PathAgent,TCGA_LUNG_Classification,1,True,328,803,0.40846824408468246
Pathology-CoT,TCGA_LUNG_Classification,0,False,5,858,0.005827505827505828
Pathology-CoT,TCGA_LUNG_Classification,0,True,2,858,0.002331002331002331
Pathology-CoT,TCGA_LUNG_Classification,0.5,False,31,858,0.03613053613053613
Pathology-CoT,TCGA_LUNG_Classification,0.5,True,90,858,0.1048951048951049
Pathology-CoT,TCGA_LUNG_Classification,1,False,132,858,0.15384615384615385
Pathology-CoT,TCGA_LUNG_Classification,1,True,598,858,0.696969696969697
slide_seek,TCGA_LUNG_Classification,0,False,102,855,0.11929824561403508
slide_seek,TCGA_LUNG_Classification,0,True,37,855,0.04327485380116959
slide_seek,TCGA_LUNG_Classification,0.5,False,236,855,0.2760233918128655
slide_seek,TCGA_LUNG_Classification,0.5,True,90,855,0.10526315789473684
slide_seek,TCGA_LUNG_Classification,1,False,170,855,0.19883040935672514
slide_seek,TCGA_LUNG_Classification,1,True,220,855,0.2573099415204678
