method,task,score_label,size,total,proportion
CPathAgent,TCGA_BRCA_subtype,0,9,85,0.10588235294117647
CPathAgent,TCGA_BRCA_subtype,0.5,19,85,0.2235294117647059
CPathAgent,TCGA_BRCA_subtype,1,57,85,0.6705882352941176
PathAgent,TCGA_BRCA_subtype,0,9,86,0.10465116279069768
PathAgent,TCGA_BRCA_subtype,0.5,49,86,0.5697674418604651
PathAgent,TCGA_BRCA_subtype,1,28,86,0.32558139534883723
Pathology-CoT,TCGA_BRCA_subtype,0,1,93,0.010752688172043012
Pathology-CoT,TCGA_BRCA_subtype,0.5,26,93,0.27956989247311825
Pathology-CoT,TCGA_BRCA_subtype,1,66,93,0.7096774193548387
slide_seek,TCGA_BRCA_subtype,0,32,93,0.34408602150537637
slide_seek,TCGA_BRCA_subtype,0.5,42,93,0.45161290322580644
slide_seek,TCGA_BRCA_subtype,1,19,93,0.20430107526881722
CPathAgent,TCGA_LUNG_Classification,0,7,607,0.011532125205930808
CPathAgent,TCGA_LUNG_Classification,0.5,245,607,0.40362438220757824
CPathAgent,TCGA_LUNG_Classification,1,355,607,0.5848434925864909
PathAgent,TCGA_LUNG_Classification,0,68,803,0.08468244084682441
PathAgent,TCGA_LUNG_Classification,0.5,239,803,0.29763387297633875
PathAgent,TCGA_LUNG_Classification,1,496,803,0.6176836861768369
Pathology-CoT,TCGA_LUNG_Classification,0,7,858,0.008158508158508158
Pathology-CoT,TCGA_LUNG_Classification,0.5,121,858,0.14102564102564102
Pathology-CoT,TCGA_LUNG_Classification,1,730,858,0.8508158508158508
slide_seek,TCGA_LUNG_Classification,0,139,855,0.16257309941520467
slide_seek,TCGA_LUNG_Classification,0.5,326,855,0.38128654970760234
slide_seek,TCGA_LUNG_Classification,1,390,855,0.45614035087719296
