method,task,score_label,score_n,score_share_of_total,score_acc,matching_n,matching_acc,original_n,original_acc,acc_delta_vs_original
CPathAgent,TCGA_BRCA_subtype,0,9,0.10588235294117647,0.1111111111111111,85,0.6352941176470588,85,0.6352941176470588,-0.5241830065359476
CPathAgent,TCGA_BRCA_subtype,0.5,19,0.2235294117647059,0.47368421052631576,85,0.6352941176470588,85,0.6352941176470588,-0.16160990712074302
CPathAgent,TCGA_BRCA_subtype,1,57,0.6705882352941176,0.7719298245614035,85,0.6352941176470588,85,0.6352941176470588,0.13663570691434468
PathAgent,TCGA_BRCA_subtype,0,9,0.10465116279069768,0.7777777777777778,86,0.6627906976744186,86,0.6627906976744186,0.11498708010335923
PathAgent,TCGA_BRCA_subtype,0.5,49,0.5697674418604651,0.6326530612244898,86,0.6627906976744186,86,0.6627906976744186,-0.03013763644992873
PathAgent,TCGA_BRCA_subtype,1,28,0.32558139534883723,0.6785714285714286,86,0.6627906976744186,86,0.6627906976744186,0.015780730897010042
Pathology-CoT,TCGA_BRCA_subtype,0,1,0.010752688172043012,0.0,93,0.6989247311827957,93,0.6989247311827957,-0.6989247311827957
Pathology-CoT,TCGA_BRCA_subtype,0.5,26,0.27956989247311825,0.6923076923076923,93,0.6989247311827957,93,0.6989247311827957,-0.006617038875103454
Pathology-CoT,TCGA_BRCA_subtype,1,66,0.7096774193548387,0.7121212121212122,93,0.6989247311827957,93,0.6989247311827957,0.01319648093841641
slide_seek,TCGA_BRCA_subtype,0,32,0.34408602150537637,0.25,93,0.5483870967741935,93,0.5483870967741935,-0.2983870967741935
slide_seek,TCGA_BRCA_subtype,0.5,42,0.45161290322580644,0.6190476190476191,93,0.5483870967741935,93,0.5483870967741935,0.07066052227342556
slide_seek,TCGA_BRCA_subtype,1,19,0.20430107526881722,0.8947368421052632,93,0.5483870967741935,93,0.5483870967741935,0.34634974533106966
CPathAgent,TCGA_LUNG_Classification,0,7,0.011532125205930808,0.14285714285714285,607,0.6309719934102141,607,0.6309719934102141,-0.4881148505530713
CPathAgent,TCGA_LUNG_Classification,0.5,245,0.40362438220757824,0.4204081632653061,607,0.6309719934102141,607,0.6309719934102141,-0.21056383014490804
CPathAgent,TCGA_LUNG_Classification,1,355,0.5848434925864909,0.7859154929577464,607,0.6309719934102141,607,0.6309719934102141,0.15494349954753228
PathAgent,TCGA_LUNG_Classification,0,68,0.08468244084682441,0.5147058823529411,803,0.6102117061021171,803,0.6102117061021171,-0.09550582374917593
PathAgent,TCGA_LUNG_Classification,0.5,239,0.29763387297633875,0.5313807531380753,803,0.6102117061021171,803,0.6102117061021171,-0.07883095296404175
PathAgent,TCGA_LUNG_Classification,1,496,0.6176836861768369,0.6612903225806451,803,0.6102117061021171,803,0.6102117061021171,0.05107861647852807
Pathology-CoT,TCGA_LUNG_Classification,0,7,0.008158508158508158,0.2857142857142857,858,0.8041958041958042,858,0.8041958041958042,-0.5184815184815185
Pathology-CoT,TCGA_LUNG_Classification,0.5,121,0.14102564102564102,0.743801652892562,858,0.8041958041958042,858,0.8041958041958042,-0.060394151303242216
Pathology-CoT,TCGA_LUNG_Classification,1,730,0.8508158508158508,0.8191780821917808,858,0.8041958041958042,858,0.8041958041958042,0.014982277995976623
slide_seek,TCGA_LUNG_Classification,0,139,0.16257309941520467,0.26618705035971224,855,0.4058479532163743,855,0.4058479532163743,-0.13966090285666205
slide_seek,TCGA_LUNG_Classification,0.5,326,0.38128654970760234,0.27607361963190186,855,0.4058479532163743,855,0.4058479532163743,-0.12977433358447243
slide_seek,TCGA_LUNG_Classification,1,390,0.45614035087719296,0.5641025641025641,855,0.4058479532163743,855,0.4058479532163743,0.1582546108861898
