method,task,cases,correct_cases,acc
CPathAgent,CAMELYON16_detection,45,41,0.9111111111111111
PathAgent,CAMELYON16_detection,47,35,0.7446808510638298
Pathology-CoT,CAMELYON16_detection,39,17,0.4358974358974359
slide_seek,CAMELYON16_detection,23,7,0.30434782608695654
CPathAgent,TCGA_BRCA_subtype,85,54,0.6352941176470588
PathAgent,TCGA_BRCA_subtype,86,57,0.6627906976744186
Pathology-CoT,TCGA_BRCA_subtype,93,65,0.6989247311827957
slide_seek,TCGA_BRCA_subtype,93,51,0.5483870967741935
CPathAgent,TCGA_LUNG_Classification,607,383,0.6309719934102141
PathAgent,TCGA_LUNG_Classification,803,490,0.6102117061021171
Pathology-CoT,TCGA_LUNG_Classification,858,690,0.8041958041958042
slide_seek,TCGA_LUNG_Classification,855,347,0.4058479532163743
