method,task,cases,correct_cases,acc,n,mean_final_score,median_final_score,correct_rate,source
CPathAgent,CAMELYON16_detection,45,41,0.9111111111111112,45,0.8777777777777778,1.0,0.9111111111111112,Evidence
PathAgent,CAMELYON16_detection,47,35,0.7446808510638298,60,0.775,1.0,0.6833333333333333,Evidence
Pathology-CoT,CAMELYON16_detection,39,17,0.4358974358974359,50,0.67,0.5,0.4347826086956521,Evidence
slide_seek,CAMELYON16_detection,23,7,0.3043478260869565,23,0.3043478260869565,0.0,0.3043478260869565,Evidence
CPathAgent,TCGA_BRCA_subtype,85,54,0.6352941176470588,85,0.7647058823529411,1.0,0.6352941176470588,Evidence
PathAgent,TCGA_BRCA_subtype,86,57,0.6627906976744186,86,0.5523255813953488,0.5,0.6627906976744186,Evidence
Pathology-CoT,TCGA_BRCA_subtype,93,65,0.6989247311827957,93,0.7956989247311828,1.0,0.6989247311827957,Evidence
slide_seek,TCGA_BRCA_subtype,93,51,0.5483870967741935,93,0.5860215053763441,0.5,0.5483870967741935,Evidence
CPathAgent,TCGA_LUNG_Classification,607,383,0.6309719934102141,607,0.7907742998352554,1.0,0.6309719934102141,Evidence
PathAgent,TCGA_LUNG_Classification,803,490,0.6102117061021171,803,0.7615193026151931,1.0,0.6102117061021171,Evidence
Pathology-CoT,TCGA_LUNG_Classification,858,690,0.8041958041958042,858,0.9102564102564102,1.0,0.8041958041958042,Evidence
slide_seek,TCGA_LUNG_Classification,855,347,0.4058479532163743,855,0.683625730994152,1.0,0.4058479532163743,Evidence
CPathAgent,TCGA_BRCA_subtype,85,54,0.6352941176470588,85,0.7823529411764706,1.0,0.6352941176470588,Uncertainty
PathAgent,TCGA_BRCA_subtype,86,57,0.6627906976744186,86,0.6104651162790697,0.5,0.6627906976744186,Uncertainty
Pathology-CoT,TCGA_BRCA_subtype,93,65,0.6989247311827957,93,0.8494623655913979,1.0,0.6989247311827957,Uncertainty
slide_seek,TCGA_BRCA_subtype,93,51,0.5483870967741935,93,0.4301075268817204,0.5,0.5483870967741935,Uncertainty
CPathAgent,TCGA_LUNG_Classification,607,383,0.6309719934102141,607,0.78665568369028,1.0,0.6309719934102141,Uncertainty
PathAgent,TCGA_LUNG_Classification,803,490,0.6102117061021171,803,0.7665006226650062,1.0,0.6102117061021171,Uncertainty
Pathology-CoT,TCGA_LUNG_Classification,858,690,0.8041958041958042,858,0.9213286713286714,1.0,0.8041958041958042,Uncertainty
slide_seek,TCGA_LUNG_Classification,855,347,0.4058479532163743,855,0.6467836257309941,0.5,0.4058479532163743,Uncertainty
