method,task,cases,correct_cases,acc,hit_rate_at_hit_threshold,case_micro_precision,mrfh_at_hit_threshold,coverage_pct,hit_rate_pct,roi_precision,mrfh,cost_coverage_pct
CPathAgent,CAMELYON16_detection,45,41,0.9111111111111112,41.7,0.0374,0.1777,13.5921,41.7,0.0374,0.1777,13.5921
PathAgent,CAMELYON16_detection,47,35,0.7446808510638298,37.7,0.0204,0.0604,2.092,37.7,0.0204,0.0604,2.092
Pathology-CoT,CAMELYON16_detection,39,17,0.4358974358974359,39.6,0.1386,0.2294,1.5461,39.6,0.1386,0.2294,1.5461
slide_seek,CAMELYON16_detection,23,7,0.3043478260869565,8.3,0.0896,0.0451,0.3601,8.3,0.0896,0.0451,0.3601
CPathAgent,TCGA_BRCA_subtype,85,54,0.6352941176470588,84.9,0.3027,0.6916,15.6752,84.9,0.3027,0.6916,15.6752
PathAgent,TCGA_BRCA_subtype,86,57,0.6627906976744186,79.1,0.2857,0.4415,2.8165,79.1,0.2857,0.4415,2.8165
Pathology-CoT,TCGA_BRCA_subtype,93,65,0.6989247311827957,85.7,0.5894,0.7435,1.8632,85.7,0.5894,0.7435,1.8632
slide_seek,TCGA_BRCA_subtype,93,51,0.5483870967741935,86.0,0.3355,0.7058,1.4248,86.0,0.3355,0.7058,1.4248
CPathAgent,TCGA_LUNG_Classification,607,383,0.6309719934102141,81.6,0.3207,0.6701,19.3729,81.6,0.3207,0.6701,19.3729
PathAgent,TCGA_LUNG_Classification,803,490,0.6102117061021171,87.0,0.392,0.604,4.4249,87.0,0.392,0.604,4.4249
Pathology-CoT,TCGA_LUNG_Classification,858,690,0.8041958041958042,84.2,0.6456,0.7749,1.4279,84.2,0.6456,0.7749,1.4279
slide_seek,TCGA_LUNG_Classification,855,347,0.4058479532163743,86.0,0.359,0.6526,2.7215,86.0,0.359,0.6526,2.7215
