precision_threshold,mrfh,hit_cases,hit_rate_pct,threshold_type,method,task
0.0,0.0451,4,8.3,precision,slide_seek,CAMELYON16_detection
0.05,0.0451,4,8.3,precision,slide_seek,CAMELYON16_detection
0.1,0.0451,4,8.3,precision,slide_seek,CAMELYON16_detection
0.15,0.0451,4,8.3,precision,slide_seek,CAMELYON16_detection
0.2,0.0243,3,6.2,precision,slide_seek,CAMELYON16_detection
0.25,0.0243,3,6.2,precision,slide_seek,CAMELYON16_detection
0.3,0.0243,3,6.2,precision,slide_seek,CAMELYON16_detection
0.35,0.0243,3,6.2,precision,slide_seek,CAMELYON16_detection
0.4,0.0243,3,6.2,precision,slide_seek,CAMELYON16_detection
0.45,0.0174,2,4.2,precision,slide_seek,CAMELYON16_detection
0.5,0.0174,2,4.2,precision,slide_seek,CAMELYON16_detection
0.55,0.0174,2,4.2,precision,slide_seek,CAMELYON16_detection
0.6,0.0174,2,4.2,precision,slide_seek,CAMELYON16_detection
0.65,0.0174,2,4.2,precision,slide_seek,CAMELYON16_detection
0.7,0.0174,2,4.2,precision,slide_seek,CAMELYON16_detection
0.75,0.0174,2,4.2,precision,slide_seek,CAMELYON16_detection
0.8,0.0174,2,4.2,precision,slide_seek,CAMELYON16_detection
0.85,0.0174,2,4.2,precision,slide_seek,CAMELYON16_detection
0.9,0.0174,2,4.2,precision,slide_seek,CAMELYON16_detection
0.95,0.0174,2,4.2,precision,slide_seek,CAMELYON16_detection
1.0,0.0,0,0.0,precision,slide_seek,CAMELYON16_detection
0.0,0.728,81,87.1,precision,slide_seek,TCGA_BRCA_subtype
0.05,0.7058,80,86.0,precision,slide_seek,TCGA_BRCA_subtype
0.1,0.6913,79,84.9,precision,slide_seek,TCGA_BRCA_subtype
0.15,0.6895,79,84.9,precision,slide_seek,TCGA_BRCA_subtype
0.2,0.6712,78,83.9,precision,slide_seek,TCGA_BRCA_subtype
0.25,0.6604,77,82.8,precision,slide_seek,TCGA_BRCA_subtype
0.3,0.6569,77,82.8,precision,slide_seek,TCGA_BRCA_subtype
0.35,0.6569,77,82.8,precision,slide_seek,TCGA_BRCA_subtype
0.4,0.6569,77,82.8,precision,slide_seek,TCGA_BRCA_subtype
0.45,0.6411,77,82.8,precision,slide_seek,TCGA_BRCA_subtype
0.5,0.6397,77,82.8,precision,slide_seek,TCGA_BRCA_subtype
0.55,0.6316,77,82.8,precision,slide_seek,TCGA_BRCA_subtype
0.6,0.6251,77,82.8,precision,slide_seek,TCGA_BRCA_subtype
0.65,0.6237,76,81.7,precision,slide_seek,TCGA_BRCA_subtype
0.7,0.6236,76,81.7,precision,slide_seek,TCGA_BRCA_subtype
0.75,0.6236,76,81.7,precision,slide_seek,TCGA_BRCA_subtype
0.8,0.6164,76,81.7,precision,slide_seek,TCGA_BRCA_subtype
0.85,0.6163,76,81.7,precision,slide_seek,TCGA_BRCA_subtype
0.9,0.6163,76,81.7,precision,slide_seek,TCGA_BRCA_subtype
0.95,0.5946,74,79.6,precision,slide_seek,TCGA_BRCA_subtype
1.0,0.0,0,0.0,precision,slide_seek,TCGA_BRCA_subtype
0.0,0.6699,742,86.5,precision,slide_seek,TCGA_LUNG_Classification
0.05,0.6526,738,86.0,precision,slide_seek,TCGA_LUNG_Classification
0.1,0.6471,736,85.8,precision,slide_seek,TCGA_LUNG_Classification
0.15,0.6402,732,85.3,precision,slide_seek,TCGA_LUNG_Classification
0.2,0.6342,725,84.5,precision,slide_seek,TCGA_LUNG_Classification
0.25,0.628,723,84.3,precision,slide_seek,TCGA_LUNG_Classification
0.3,0.619,720,83.9,precision,slide_seek,TCGA_LUNG_Classification
0.35,0.614,717,83.6,precision,slide_seek,TCGA_LUNG_Classification
0.4,0.61,717,83.6,precision,slide_seek,TCGA_LUNG_Classification
0.45,0.6071,715,83.3,precision,slide_seek,TCGA_LUNG_Classification
