method,task,all_cases,all_acc,hit_nonzero_cases,hit_nonzero_acc,hit_nonzero_case_count,hit_nonzero_case_share,acc_delta
CPathAgent,CAMELYON16_detection,45,0.9111111111111111,18,0.4,20,0.4444444444444444,-0.5111111111111111
PathAgent,CAMELYON16_detection,47,0.7446808510638298,18,0.3829787234042553,21,0.44680851063829785,-0.36170212765957444
Pathology-CoT,CAMELYON16_detection,39,0.4358974358974359,8,0.20512820512820512,17,0.4358974358974359,-0.23076923076923078
slide_seek,CAMELYON16_detection,23,0.30434782608695654,0,0.0,4,0.17391304347826086,-0.30434782608695654
CPathAgent,TCGA_BRCA_subtype,85,0.6352941176470588,50,0.5882352941176471,79,0.9294117647058824,-0.04705882352941171
PathAgent,TCGA_BRCA_subtype,86,0.6627906976744186,47,0.5465116279069767,68,0.7906976744186046,-0.11627906976744184
Pathology-CoT,TCGA_BRCA_subtype,93,0.6989247311827957,57,0.6129032258064516,79,0.8494623655913979,-0.08602150537634412
slide_seek,TCGA_BRCA_subtype,93,0.5483870967741935,43,0.46236559139784944,80,0.8602150537634409,-0.08602150537634407
CPathAgent,TCGA_LUNG_Classification,607,0.6309719934102141,362,0.5963756177924218,565,0.9308072487644151,-0.034596375617792385
PathAgent,TCGA_LUNG_Classification,803,0.6102117061021171,426,0.5305105853051059,699,0.8704856787048568,-0.0797011207970112
Pathology-CoT,TCGA_LUNG_Classification,858,0.8041958041958042,583,0.6794871794871795,722,0.8414918414918415,-0.12470862470862465
slide_seek,TCGA_LUNG_Classification,855,0.4058479532163743,309,0.36140350877192984,738,0.8631578947368421,-0.04444444444444445
