method,task,mrfh_at_hit_threshold,hit_rate_at_hit_threshold,coverage_pct,efficiency_pct,efficiency_avg_per_case_pct,avg_roi_per_case,avg_16x16_subpatches_per_case,per_roi_total,total_16x16_subpatches,processed_cases,efficiency_cases_with_total_size
slide_seek,CAMELYON16_detection,0.0451,8.3,0.3601,0.1038,0.2572,4.833333333333333,285833.3333333333,232.0,13720000.0,48.0,48.0
Pathology-CoT,CAMELYON16_detection,0.2294,39.6,1.5461,1.6487000000000003,1.7138,6.875,1227198.1875,330.0,58905513.0,48.0,48.0
PathAgent,CAMELYON16_detection,0.0604,37.7,2.092,2.4224,2.915,26.770491803278688,1695830.1639344261,1633.0,103445640.0,61.0,61.0
CPathAgent,CAMELYON16_detection,0.1777,41.7,13.592099999999999,14.9535,15.566099999999999,15.833333333333334,10788924.0,760.0,517868352.0,48.0,48.0
slide_seek,TCGA_BRCA_subtype,0.7058,86.0,1.4248,1.3941000000000001,2.0601000000000003,12.225806451612904,523408.51612903224,1137.0,48676992.0,93.0,93.0
Pathology-CoT,TCGA_BRCA_subtype,0.7435,85.7,1.8632,2.0243,1.8458999999999999,4.428571428571429,694455.2959183673,434.0,68056619.0,98.0,98.0
PathAgent,TCGA_BRCA_subtype,0.4415,79.1,2.8165,3.5582000000000003,3.5699,16.011627906976745,1049338.046511628,1377.0,90243072.0,86.0,86.0
CPathAgent,TCGA_BRCA_subtype,0.6916,84.9,15.6752,17.4295,22.1789,9.870967741935484,5758206.462365591,918.0,535513201.0,93.0,93.0
Pathology-CoT,TCGA_LUNG_Classification,0.7749,84.2,1.4279,1.6925,1.7067999999999999,3.923166472642608,415615.7240977881,3370.0,357013907.0,859.0,857.0
slide_seek,TCGA_LUNG_Classification,0.6526,86.0,2.7215,2.2460999999999998,3.9587,24.11072261072261,792812.2331002331,20687.0,680232896.0,858.0,856.0
PathAgent,TCGA_LUNG_Classification,0.604,87.0,4.4249,4.7629,5.6389000000000005,22.900373599003736,1290613.4134495643,18389.0,1036362571.0,803.0,801.0
CPathAgent,TCGA_LUNG_Classification,0.6701,81.6,19.3729,21.6374,26.7558,8.121387283236995,5485979.407514451,5620.0,3796297750.0,692.0,690.0
