method,task,correct,n,mean_final_score,median_final_score,std_final_score
CPathAgent,CAMELYON16_detection,False,4,1.0,1.0,0.0
CPathAgent,CAMELYON16_detection,True,41,0.8658536585365854,1.0,0.22428748972865276
PathAgent,CAMELYON16_detection,False,19,0.631578947368421,1.0,0.49559462778335206
PathAgent,CAMELYON16_detection,True,41,0.8414634146341463,1.0,0.3612309578068424
Pathology-CoT,CAMELYON16_detection,False,26,0.6538461538461539,0.75,0.3941885530867371
Pathology-CoT,CAMELYON16_detection,True,20,0.675,0.5,0.33541019662496846
Pathology-CoT,CAMELYON16_detection,,4,0.75,0.75,0.28867513459481287
slide_seek,CAMELYON16_detection,False,16,0.34375,0.0,0.47324236215002274
slide_seek,CAMELYON16_detection,True,7,0.21428571428571427,0.0,0.3933978962347216
CPathAgent,TCGA_BRCA_subtype,False,31,0.532258064516129,0.5,0.385907671837184
CPathAgent,TCGA_BRCA_subtype,True,54,0.8981481481481481,1.0,0.22528032075845916
PathAgent,TCGA_BRCA_subtype,False,29,0.4482758620689655,0.5,0.3366013853370741
PathAgent,TCGA_BRCA_subtype,True,57,0.6052631578947368,0.5,0.3237178294173905
Pathology-CoT,TCGA_BRCA_subtype,False,28,0.6428571428571429,0.5,0.2672612419124244
Pathology-CoT,TCGA_BRCA_subtype,True,65,0.8615384615384616,1.0,0.22548025668303234
slide_seek,TCGA_BRCA_subtype,False,42,0.5833333333333334,0.5,0.3968883031827117
slide_seek,TCGA_BRCA_subtype,True,51,0.5882352941176471,0.5,0.3421386028050792
CPathAgent,TCGA_LUNG_Classification,False,224,0.6674107142857143,0.5,0.25474948755464255
CPathAgent,TCGA_LUNG_Classification,True,383,0.8629242819843342,1.0,0.2262459672729462
PathAgent,TCGA_LUNG_Classification,False,313,0.7028753993610224,1.0,0.3483818461214237
PathAgent,TCGA_LUNG_Classification,True,490,0.7989795918367347,1.0,0.3098567839769207
Pathology-CoT,TCGA_LUNG_Classification,False,168,0.8214285714285714,1.0,0.25244738756850416
Pathology-CoT,TCGA_LUNG_Classification,True,690,0.9318840579710145,1.0,0.17581884200126893
slide_seek,TCGA_LUNG_Classification,False,508,0.6289370078740157,0.5,0.3643497517308003
slide_seek,TCGA_LUNG_Classification,True,347,0.7636887608069164,1.0,0.3405303513509985
