method,task,score_label,correct,size,total,proportion_of_total
CPathAgent,CAMELYON16_detection,0.5,True,11,45,0.24444444444444444
CPathAgent,CAMELYON16_detection,1,False,4,45,0.08888888888888889
CPathAgent,CAMELYON16_detection,1,True,30,45,0.6666666666666666
PathAgent,CAMELYON16_detection,0,False,7,60,0.11666666666666667
PathAgent,CAMELYON16_detection,0,True,6,60,0.1
PathAgent,CAMELYON16_detection,0.5,True,1,60,0.016666666666666666
PathAgent,CAMELYON16_detection,1,False,12,60,0.2
PathAgent,CAMELYON16_detection,1,True,34,60,0.5666666666666667
Pathology-CoT,CAMELYON16_detection,0,False,5,50,0.1
Pathology-CoT,CAMELYON16_detection,0,True,2,50,0.04
Pathology-CoT,CAMELYON16_detection,0.5,False,8,50,0.16
Pathology-CoT,CAMELYON16_detection,0.5,True,9,50,0.18
Pathology-CoT,CAMELYON16_detection,1,False,13,50,0.26
Pathology-CoT,CAMELYON16_detection,1,True,9,50,0.18
slide_seek,CAMELYON16_detection,0,False,10,23,0.43478260869565216
slide_seek,CAMELYON16_detection,0,True,5,23,0.21739130434782608
slide_seek,CAMELYON16_detection,0.5,False,1,23,0.043478260869565216
slide_seek,CAMELYON16_detection,0.5,True,1,23,0.043478260869565216
slide_seek,CAMELYON16_detection,1,False,5,23,0.21739130434782608
slide_seek,CAMELYON16_detection,1,True,1,23,0.043478260869565216
CPathAgent,TCGA_BRCA_subtype,0,False,8,85,0.09411764705882353
CPathAgent,TCGA_BRCA_subtype,0,True,1,85,0.011764705882352941
CPathAgent,TCGA_BRCA_subtype,0.5,False,13,85,0.15294117647058825
CPathAgent,TCGA_BRCA_subtype,0.5,True,9,85,0.10588235294117647
CPathAgent,TCGA_BRCA_subtype,1,False,10,85,0.11764705882352941
CPathAgent,TCGA_BRCA_subtype,1,True,44,85,0.5176470588235295
PathAgent,TCGA_BRCA_subtype,0,False,8,86,0.09302325581395349
PathAgent,TCGA_BRCA_subtype,0,True,7,86,0.08139534883720931
PathAgent,TCGA_BRCA_subtype,0.5,False,16,86,0.18604651162790697
PathAgent,TCGA_BRCA_subtype,0.5,True,31,86,0.36046511627906974
PathAgent,TCGA_BRCA_subtype,1,False,5,86,0.05813953488372093
PathAgent,TCGA_BRCA_subtype,1,True,19,86,0.22093023255813954
Pathology-CoT,TCGA_BRCA_subtype,0,False,1,93,0.010752688172043012
Pathology-CoT,TCGA_BRCA_subtype,0.5,False,18,93,0.1935483870967742
Pathology-CoT,TCGA_BRCA_subtype,0.5,True,18,93,0.1935483870967742
Pathology-CoT,TCGA_BRCA_subtype,1,False,9,93,0.0967741935483871
Pathology-CoT,TCGA_BRCA_subtype,1,True,47,93,0.5053763440860215
slide_seek,TCGA_BRCA_subtype,0,False,10,93,0.10752688172043011
slide_seek,TCGA_BRCA_subtype,0,True,8,93,0.08602150537634409
slide_seek,TCGA_BRCA_subtype,0.5,False,15,93,0.16129032258064516
slide_seek,TCGA_BRCA_subtype,0.5,True,26,93,0.27956989247311825
slide_seek,TCGA_BRCA_subtype,1,False,17,93,0.1827956989247312
slide_seek,TCGA_BRCA_subtype,1,True,17,93,0.1827956989247312
CPathAgent,TCGA_LUNG_Classification,0,False,4,607,0.006589785831960461
CPathAgent,TCGA_LUNG_Classification,0,True,1,607,0.0016474464579901153
CPathAgent,TCGA_LUNG_Classification,0.5,False,141,607,0.23228995057660626
CPathAgent,TCGA_LUNG_Classification,0.5,True,103,607,0.1696869851729819
CPathAgent,TCGA_LUNG_Classification,1,False,79,607,0.1301482701812191
CPathAgent,TCGA_LUNG_Classification,1,True,279,607,0.4596375617792422
PathAgent,TCGA_LUNG_Classification,0,False,38,803,0.047322540473225407
PathAgent,TCGA_LUNG_Classification,0,True,35,803,0.043586550435865505
PathAgent,TCGA_LUNG_Classification,0.5,False,110,803,0.136986301369863
PathAgent,TCGA_LUNG_Classification,0.5,True,127,803,0.1581569115815691
PathAgent,TCGA_LUNG_Classification,1,False,165,803,0.2054794520547945
PathAgent,TCGA_LUNG_Classification,1,True,328,803,0.40846824408468246
Pathology-CoT,TCGA_LUNG_Classification,0,False,2,858,0.002331002331002331
Pathology-CoT,TCGA_LUNG_Classification,0,True,2,858,0.002331002331002331
Pathology-CoT,TCGA_LUNG_Classification,0.5,False,56,858,0.06526806526806526
Pathology-CoT,TCGA_LUNG_Classification,0.5,True,90,858,0.1048951048951049
Pathology-CoT,TCGA_LUNG_Classification,1,False,110,858,0.1282051282051282
Pathology-CoT,TCGA_LUNG_Classification,1,True,598,858,0.696969696969697
slide_seek,TCGA_LUNG_Classification,0,False,86,855,0.10058479532163743
slide_seek,TCGA_LUNG_Classification,0,True,37,855,0.04327485380116959
slide_seek,TCGA_LUNG_Classification,0.5,False,205,855,0.23976608187134502
slide_seek,TCGA_LUNG_Classification,0.5,True,90,855,0.10526315789473684
slide_seek,TCGA_LUNG_Classification,1,False,217,855,0.25380116959064325
slide_seek,TCGA_LUNG_Classification,1,True,220,855,0.2573099415204678
