method,task,score_label,size,total,proportion
CPathAgent,CAMELYON16_detection,0.5,11,45,0.24444444444444444
CPathAgent,CAMELYON16_detection,1,34,45,0.7555555555555555
PathAgent,CAMELYON16_detection,0,13,60,0.21666666666666667
PathAgent,CAMELYON16_detection,0.5,1,60,0.016666666666666666
PathAgent,CAMELYON16_detection,1,46,60,0.7666666666666667
Pathology-CoT,CAMELYON16_detection,0,7,50,0.14
Pathology-CoT,CAMELYON16_detection,0.5,19,50,0.38
Pathology-CoT,CAMELYON16_detection,1,24,50,0.48
slide_seek,CAMELYON16_detection,0,15,23,0.6521739130434783
slide_seek,CAMELYON16_detection,0.5,2,23,0.08695652173913043
slide_seek,CAMELYON16_detection,1,6,23,0.2608695652173913
CPathAgent,TCGA_BRCA_subtype,0,9,85,0.10588235294117647
CPathAgent,TCGA_BRCA_subtype,0.5,22,85,0.25882352941176473
CPathAgent,TCGA_BRCA_subtype,1,54,85,0.6352941176470588
PathAgent,TCGA_BRCA_subtype,0,15,86,0.1744186046511628
PathAgent,TCGA_BRCA_subtype,0.5,47,86,0.5465116279069767
PathAgent,TCGA_BRCA_subtype,1,24,86,0.27906976744186046
Pathology-CoT,TCGA_BRCA_subtype,0,1,93,0.010752688172043012
Pathology-CoT,TCGA_BRCA_subtype,0.5,36,93,0.3870967741935484
Pathology-CoT,TCGA_BRCA_subtype,1,56,93,0.6021505376344086
slide_seek,TCGA_BRCA_subtype,0,18,93,0.1935483870967742
slide_seek,TCGA_BRCA_subtype,0.5,41,93,0.44086021505376344
slide_seek,TCGA_BRCA_subtype,1,34,93,0.3655913978494624
CPathAgent,TCGA_LUNG_Classification,0,5,607,0.008237232289950576
CPathAgent,TCGA_LUNG_Classification,0.5,244,607,0.40197693574958815
CPathAgent,TCGA_LUNG_Classification,1,358,607,0.5897858319604613
PathAgent,TCGA_LUNG_Classification,0,73,803,0.09090909090909091
PathAgent,TCGA_LUNG_Classification,0.5,237,803,0.29514321295143214
PathAgent,TCGA_LUNG_Classification,1,493,803,0.613947696139477
Pathology-CoT,TCGA_LUNG_Classification,0,4,858,0.004662004662004662
Pathology-CoT,TCGA_LUNG_Classification,0.5,146,858,0.17016317016317017
Pathology-CoT,TCGA_LUNG_Classification,1,708,858,0.8251748251748252
slide_seek,TCGA_LUNG_Classification,0,123,855,0.14385964912280702
slide_seek,TCGA_LUNG_Classification,0.5,295,855,0.34502923976608185
slide_seek,TCGA_LUNG_Classification,1,437,855,0.5111111111111111
