method,task,n,mean_final_score,median_final_score,std_final_score,min_final_score,max_final_score,correct_rate
CPathAgent,CAMELYON16_detection,45,0.8777777777777778,1.0,0.21730674684008836,0.5,1.0,0.9111111111111111
PathAgent,CAMELYON16_detection,60,0.775,1.0,0.4160447335791946,0.0,1.0,0.6833333333333333
Pathology-CoT,CAMELYON16_detection,50,0.67,0.5,0.35871084369970624,0.0,1.0,0.43478260869565216
slide_seek,CAMELYON16_detection,23,0.30434782608695654,0.0,0.44566422426588587,0.0,1.0,0.30434782608695654
CPathAgent,TCGA_BRCA_subtype,85,0.7647058823529411,1.0,0.3414624996327739,0.0,1.0,0.6352941176470588
PathAgent,TCGA_BRCA_subtype,86,0.5523255813953488,0.5,0.33456793706863763,0.0,1.0,0.6627906976744186
Pathology-CoT,TCGA_BRCA_subtype,93,0.7956989247311828,1.0,0.2578818310838883,0.0,1.0,0.6989247311827957
slide_seek,TCGA_BRCA_subtype,93,0.5860215053763441,0.5,0.3658199241755377,0.0,1.0,0.5483870967741935
CPathAgent,TCGA_LUNG_Classification,607,0.7907742998352554,1.0,0.255075010254951,0.0,1.0,0.6309719934102141
PathAgent,TCGA_LUNG_Classification,803,0.7615193026151931,1.0,0.3285670286755506,0.0,1.0,0.6102117061021171
Pathology-CoT,TCGA_LUNG_Classification,858,0.9102564102564102,1.0,0.19797617688955269,0.0,1.0,0.8041958041958042
slide_seek,TCGA_LUNG_Classification,855,0.683625730994152,1.0,0.3607998534253503,0.0,1.0,0.4058479532163743
