method,task,hit_rate_group,cases,total_cases,acc,acc_cases,mean_max_precision,mean_agg_precision,case_share
CPathAgent,CAMELYON16_detection,hit_rate=0,28,48,0.92,25,0.009096,0.0017000000000000001,0.5833333333333334
CPathAgent,CAMELYON16_detection,hit_rate!=0,20,48,0.9,20,0.46785499999999997,0.10951,0.4166666666666667
PathAgent,CAMELYON16_detection,hit_rate=0,38,61,0.6538461538461539,26,0.002330769230769231,6.538461538461539e-05,0.6229508196721312
PathAgent,CAMELYON16_detection,hit_rate!=0,23,61,0.8571428571428571,21,0.6465190476190477,0.06087142857142857,0.3770491803278688
Pathology-CoT,CAMELYON16_detection,hit_rate=0,29,48,0.4090909090909091,22,0.0041045454545454545,0.001459090909090909,0.6041666666666666
Pathology-CoT,CAMELYON16_detection,hit_rate!=0,19,48,0.47058823529411764,17,0.6341823529411765,0.20538823529411765,0.3958333333333333
slide_seek,CAMELYON16_detection,hit_rate=0,44,48,0.3684210526315789,19,0.0,0.0,0.9166666666666666
slide_seek,CAMELYON16_detection,hit_rate!=0,4,48,0.0,4,0.6438499999999999,0.261625,0.08333333333333333
CPathAgent,TCGA_BRCA_subtype,hit_rate=0,14,93,0.6666666666666666,6,0.0003333333333333333,9.999999999999999e-05,0.15053763440860216
CPathAgent,TCGA_BRCA_subtype,hit_rate!=0,79,93,0.6329113924050633,79,0.8702632911392405,0.35524430379746835,0.8494623655913979
PathAgent,TCGA_BRCA_subtype,hit_rate=0,18,86,0.5555555555555556,18,0.0031555555555555555,0.0003444444444444444,0.20930232558139536
PathAgent,TCGA_BRCA_subtype,hit_rate!=0,68,86,0.6911764705882353,68,0.7470661764705883,0.3304735294117647,0.7906976744186046
Pathology-CoT,TCGA_BRCA_subtype,hit_rate=0,14,98,0.5714285714285714,14,0.0007071428571428572,0.0004642857142857143,0.14285714285714285
Pathology-CoT,TCGA_BRCA_subtype,hit_rate!=0,84,98,0.7215189873417721,79,0.9279696202531647,0.759432911392405,0.8571428571428571
slide_seek,TCGA_BRCA_subtype,hit_rate=0,13,93,0.6153846153846154,13,0.0026846153846153847,0.0026846153846153847,0.13978494623655913
slide_seek,TCGA_BRCA_subtype,hit_rate!=0,80,93,0.5375,80,0.9615824999999999,0.5465175,0.8602150537634409
CPathAgent,TCGA_LUNG_Classification,hit_rate=0,127,692,0.5,42,0.005585714285714286,0.0013261904761904763,0.18352601156069365
CPathAgent,TCGA_LUNG_Classification,hit_rate!=0,565,692,0.6407079646017699,565,0.8283283185840707,0.33686690265486724,0.8164739884393064
PathAgent,TCGA_LUNG_Classification,hit_rate=0,104,803,0.6153846153846154,104,0.003985576923076923,0.0013634615384615387,0.1295143212951432
PathAgent,TCGA_LUNG_Classification,hit_rate!=0,699,803,0.6094420600858369,699,0.841249070100143,0.4548453505007153,0.8704856787048568
Pathology-CoT,TCGA_LUNG_Classification,hit_rate=0,136,859,0.7867647058823529,136,0.0017301470588235294,0.0014941176470588235,0.15832363213038417
Pathology-CoT,TCGA_LUNG_Classification,hit_rate!=0,723,859,0.8074792243767313,722,0.9438419667590028,0.815236565096953,0.8416763678696159
slide_seek,TCGA_LUNG_Classification,hit_rate=0,120,858,0.3247863247863248,117,0.0011452991452991453,0.00045299145299145297,0.13986013986013987
slide_seek,TCGA_LUNG_Classification,hit_rate!=0,738,858,0.4186991869918699,738,0.963109620596206,0.5767795392953929,0.8601398601398601
