method,task,hit_rate_group,cases,correct_cases,share_among_correct
CPathAgent,CAMELYON16_detection,hit_rate=0,23,41,0.5609756097560976
CPathAgent,CAMELYON16_detection,hit_rate!=0,18,41,0.43902439024390244
PathAgent,CAMELYON16_detection,hit_rate=0,17,35,0.4857142857142857
PathAgent,CAMELYON16_detection,hit_rate!=0,18,35,0.5142857142857142
Pathology-CoT,CAMELYON16_detection,hit_rate=0,9,17,0.5294117647058824
Pathology-CoT,CAMELYON16_detection,hit_rate!=0,8,17,0.47058823529411764
slide_seek,CAMELYON16_detection,hit_rate=0,7,7,1.0
CPathAgent,TCGA_BRCA_subtype,hit_rate=0,4,54,0.07407407407407407
CPathAgent,TCGA_BRCA_subtype,hit_rate!=0,50,54,0.9259259259259259
PathAgent,TCGA_BRCA_subtype,hit_rate=0,10,57,0.17543859649122806
PathAgent,TCGA_BRCA_subtype,hit_rate!=0,47,57,0.8245614035087719
Pathology-CoT,TCGA_BRCA_subtype,hit_rate=0,8,65,0.12307692307692308
Pathology-CoT,TCGA_BRCA_subtype,hit_rate!=0,57,65,0.8769230769230769
slide_seek,TCGA_BRCA_subtype,hit_rate=0,8,51,0.1568627450980392
slide_seek,TCGA_BRCA_subtype,hit_rate!=0,43,51,0.8431372549019608
CPathAgent,TCGA_LUNG_Classification,hit_rate=0,21,383,0.05483028720626632
CPathAgent,TCGA_LUNG_Classification,hit_rate!=0,362,383,0.9451697127937336
PathAgent,TCGA_LUNG_Classification,hit_rate=0,64,490,0.1306122448979592
PathAgent,TCGA_LUNG_Classification,hit_rate!=0,426,490,0.8693877551020408
Pathology-CoT,TCGA_LUNG_Classification,hit_rate=0,107,690,0.15507246376811595
Pathology-CoT,TCGA_LUNG_Classification,hit_rate!=0,583,690,0.8449275362318841
slide_seek,TCGA_LUNG_Classification,hit_rate=0,38,347,0.10951008645533142
slide_seek,TCGA_LUNG_Classification,hit_rate!=0,309,347,0.8904899135446686
