method,task,mean_hit_rate_drop_pp,max_hit_rate_drop_pp,mean_mrfh_drop,max_mrfh_drop
CPathAgent,CAMELYON16_detection,23.470000000000006,41.7,0.095655,0.1777
Pathology-CoT,CAMELYON16_detection,15.35,39.6,0.09184,0.2294
PathAgent,CAMELYON16_detection,16.235000000000003,37.7,0.027430000000000003,0.0604
slide_seek,CAMELYON16_detection,3.1950000000000003,8.3,0.022690000000000002,0.0451
slide_seek,TCGA_BRCA_subtype,7.404999999999999,86.0,0.09375499999999996,0.7058
Pathology-CoT,TCGA_BRCA_subtype,10.030000000000005,85.7,0.09593000000000004,0.7435
CPathAgent,TCGA_BRCA_subtype,14.260000000000005,84.9,0.197105,0.6916
PathAgent,TCGA_BRCA_subtype,23.169999999999995,79.1,0.175045,0.4415
PathAgent,TCGA_LUNG_Classification,17.384999999999998,87.0,0.190325,0.604
slide_seek,TCGA_LUNG_Classification,7.265000000000002,86.0,0.07981999999999997,0.6526
Pathology-CoT,TCGA_LUNG_Classification,8.580000000000002,84.2,0.08926500000000004,0.7749
CPathAgent,TCGA_LUNG_Classification,17.06499999999999,81.6,0.21580500000000002,0.6701
