precision_threshold,mrfh,hit_cases,hit_rate_pct,threshold_type,method,task,hit_rate_base,mrfh_base,baseline_threshold,hit_rate_drop_pp,mrfh_drop
0.0,0.2358,32,66.7,precision,CPathAgent,CAMELYON16_detection,41.7,0.1777,0.05,-25.0,-0.05810000000000001
0.05,0.1777,20,41.7,precision,CPathAgent,CAMELYON16_detection,41.7,0.1777,0.05,0.0,0.0
0.1,0.1395,16,33.3,precision,CPathAgent,CAMELYON16_detection,41.7,0.1777,0.05,8.400000000000006,0.038199999999999984
0.15,0.1159,14,29.2,precision,CPathAgent,CAMELYON16_detection,41.7,0.1777,0.05,12.500000000000004,0.061799999999999994
0.2,0.1084,13,27.1,precision,CPathAgent,CAMELYON16_detection,41.7,0.1777,0.05,14.600000000000001,0.0693
0.25,0.1084,13,27.1,precision,CPathAgent,CAMELYON16_detection,41.7,0.1777,0.05,14.600000000000001,0.0693
0.3,0.1077,12,25.0,precision,CPathAgent,CAMELYON16_detection,41.7,0.1777,0.05,16.700000000000003,0.06999999999999999
0.35,0.0956,11,22.9,precision,CPathAgent,CAMELYON16_detection,41.7,0.1777,0.05,18.800000000000004,0.08209999999999999
0.4,0.0942,10,20.8,precision,CPathAgent,CAMELYON16_detection,41.7,0.1777,0.05,20.900000000000002,0.08349999999999999
0.45,0.089,8,16.7,precision,CPathAgent,CAMELYON16_detection,41.7,0.1777,0.05,25.000000000000004,0.0887
0.5,0.0705,8,16.7,precision,CPathAgent,CAMELYON16_detection,41.7,0.1777,0.05,25.000000000000004,0.1072
0.55,0.0705,8,16.7,precision,CPathAgent,CAMELYON16_detection,41.7,0.1777,0.05,25.000000000000004,0.1072
0.6,0.0651,6,12.5,precision,CPathAgent,CAMELYON16_detection,41.7,0.1777,0.05,29.200000000000003,0.11259999999999999
0.65,0.0651,6,12.5,precision,CPathAgent,CAMELYON16_detection,41.7,0.1777,0.05,29.200000000000003,0.11259999999999999
0.7,0.0625,5,10.4,precision,CPathAgent,CAMELYON16_detection,41.7,0.1777,0.05,31.300000000000004,0.1152
0.75,0.0625,5,10.4,precision,CPathAgent,CAMELYON16_detection,41.7,0.1777,0.05,31.300000000000004,0.1152
0.8,0.0625,5,10.4,precision,CPathAgent,CAMELYON16_detection,41.7,0.1777,0.05,31.300000000000004,0.1152
0.85,0.0486,5,10.4,precision,CPathAgent,CAMELYON16_detection,41.7,0.1777,0.05,31.300000000000004,0.1291
0.9,0.0486,5,10.4,precision,CPathAgent,CAMELYON16_detection,41.7,0.1777,0.05,31.300000000000004,0.1291
0.95,0.0486,5,10.4,precision,CPathAgent,CAMELYON16_detection,41.7,0.1777,0.05,31.300000000000004,0.1291
1.0,0.0,0,0.0,precision,CPathAgent,CAMELYON16_detection,41.7,0.1777,0.05,41.7,0.1777
0.0,0.0953,28,45.9,precision,PathAgent,CAMELYON16_detection,37.7,0.0604,0.05,-8.199999999999996,-0.034899999999999994
0.05,0.0604,23,37.7,precision,PathAgent,CAMELYON16_detection,37.7,0.0604,0.05,0.0,0.0
