method,task,correct,cases,hit_rate,roi_precision,mrfh,cost
CPathAgent,CAMELYON16_detection,False,4,0.5,0.26587500000000003,0.060897435897435896,14.75
CPathAgent,CAMELYON16_detection,True,41,0.43902439024390244,0.20782926829268294,0.21220091880063185,14.414634146341463
PathAgent,CAMELYON16_detection,False,12,0.25,0.16756666666666667,0.09814814814814815,25.0
PathAgent,CAMELYON16_detection,True,35,0.5142857142857142,0.3321914285714286,0.05760623741716178,37.77142857142857
Pathology-CoT,CAMELYON16_detection,False,22,0.4090909090909091,0.2493090909090909,0.24058441558441557,6.5
Pathology-CoT,CAMELYON16_detection,True,17,0.47058823529411764,0.31685882352941175,0.25784313725490193,7.470588235294118
slide_seek,CAMELYON16_detection,False,16,0.25,0.16096249999999998,0.13541666666666666,13.375
slide_seek,CAMELYON16_detection,True,7,0.0,0.0,0.0,2.2857142857142856
CPathAgent,TCGA_BRCA_subtype,False,31,0.9354838709677419,0.7712032258064516,0.7515681003584229,9.193548387096774
CPathAgent,TCGA_BRCA_subtype,True,54,0.9259259259259259,0.8304722222222223,0.7464726631393298,11.574074074074074
PathAgent,TCGA_BRCA_subtype,False,29,0.7241379310344828,0.5493517241379311,0.39526447183647995,14.689655172413794
PathAgent,TCGA_BRCA_subtype,True,57,0.8245614035087719,0.6127385964912281,0.49675157721890933,16.68421052631579
Pathology-CoT,TCGA_BRCA_subtype,False,28,0.7857142857142857,0.757225,0.6577380952380952,4.357142857142857
Pathology-CoT,TCGA_BRCA_subtype,True,65,0.8769230769230769,0.8018030769230768,0.7761538461538462,4.630769230769231
slide_seek,TCGA_BRCA_subtype,False,42,0.8809523809523809,0.8567309523809524,0.7174036281179138,12.595238095238095
slide_seek,TCGA_BRCA_subtype,True,51,0.8431372549019608,0.8035058823529412,0.6963313103018984,11.92156862745098
CPathAgent,TCGA_LUNG_Classification,False,224,0.90625,0.7077004464285714,0.7286192602040816,7.950892857142857
CPathAgent,TCGA_LUNG_Classification,True,383,0.9451697127937336,0.8086558746736292,0.7697523835698908,9.801566579634464
PathAgent,TCGA_LUNG_Classification,False,313,0.8722044728434505,0.7408814696485624,0.5991832311960839,22.038338658146966
PathAgent,TCGA_LUNG_Classification,True,490,0.8693877551020408,0.7276565306122449,0.5766625163602682,23.451020408163266
Pathology-CoT,TCGA_LUNG_Classification,False,168,0.8273809523809523,0.784239880952381,0.7547193877551021,3.982142857142857
Pathology-CoT,TCGA_LUNG_Classification,True,690,0.8449275362318841,0.7970100000000001,0.7805814354727398,3.9
slide_seek,TCGA_LUNG_Classification,False,508,0.844488188976378,0.8131244094488189,0.6156534880304195,27.1496062992126
slide_seek,TCGA_LUNG_Classification,True,347,0.8904899135446686,0.8583334293948127,0.7123818665014883,19.870317002881844
