method,task,acc,navigation_hit_rate,navigation_roi_precision,navigation_mrfh,navigation_cost,n,evidence_mean_score,evidence_median_score,evidence_std_score,evidence_correct_rate
CPathAgent,CAMELYON16_detection,0.9111111111111112,41.7,0.0374,0.1777,13.5921,45,0.8777777777777778,1.0,0.2173067468400883,0.9111111111111112
PathAgent,CAMELYON16_detection,0.7446808510638298,37.7,0.0204,0.0604,2.092,60,0.775,1.0,0.4160447335791946,0.6833333333333333
Pathology-CoT,CAMELYON16_detection,0.4358974358974359,39.6,0.1386,0.2294,1.5461,50,0.67,0.5,0.3587108436997062,0.4347826086956521
slide_seek,CAMELYON16_detection,0.3043478260869565,8.3,0.0896,0.0451,0.3601,23,0.3043478260869565,0.0,0.4456642242658858,0.3043478260869565
CPathAgent,TCGA_BRCA_subtype,0.6352941176470588,84.9,0.3027,0.6916,15.6752,85,0.7647058823529411,1.0,0.3414624996327739,0.6352941176470588
PathAgent,TCGA_BRCA_subtype,0.6627906976744186,79.1,0.2857,0.4415,2.8165,86,0.5523255813953488,0.5,0.3345679370686376,0.6627906976744186
Pathology-CoT,TCGA_BRCA_subtype,0.6989247311827957,85.7,0.5894,0.7435,1.8632,93,0.7956989247311828,1.0,0.2578818310838883,0.6989247311827957
slide_seek,TCGA_BRCA_subtype,0.5483870967741935,86.0,0.3355,0.7058,1.4248,93,0.5860215053763441,0.5,0.3658199241755377,0.5483870967741935
CPathAgent,TCGA_LUNG_Classification,0.6309719934102141,81.6,0.3207,0.6701,19.3729,607,0.7907742998352554,1.0,0.255075010254951,0.6309719934102141
PathAgent,TCGA_LUNG_Classification,0.6102117061021171,87.0,0.392,0.604,4.4249,803,0.7615193026151931,1.0,0.3285670286755506,0.6102117061021171
Pathology-CoT,TCGA_LUNG_Classification,0.8041958041958042,84.2,0.6456,0.7749,1.4279,858,0.9102564102564102,1.0,0.1979761768895526,0.8041958041958042
slide_seek,TCGA_LUNG_Classification,0.4058479532163743,86.0,0.359,0.6526,2.7215,855,0.683625730994152,1.0,0.3607998534253503,0.4058479532163743
