relationship,x_metric,y_metric,n,slope,intercept,r,r2,p_value,std_err
MRfH vs Hit Rate,navigation_hit_rate,navigation_mrfh,12,0.00964007768640582,-0.161067857413349,0.9411621115473062,0.8857861202121841,5.028797134185754e-06,0.0010946506533612173
Evidence Median vs Evidence Mean,evidence_mean_score,evidence_median_score,12,1.8619020637782986,-0.5228444512202027,0.9181245568653094,0.8429527019191206,2.5224019246999415e-05,0.25413850118547954
MRfH vs ROI Precision,navigation_roi_precision,navigation_mrfh,12,1.2485217636395882,0.11717069716541861,0.8898380649139402,0.7918117817697857,0.00010591460502584647,0.20244786987505067
ROI Precision vs Hit Rate,navigation_hit_rate,navigation_roi_precision,12,0.005743299567967621,-0.09069813279970329,0.7867386904241439,0.6189577670102969,0.002398116993202092,0.001425008706281188
Evidence Std vs Evidence Mean,evidence_mean_score,evidence_std_score,12,-0.35396479625683924,0.5732237840889995,-0.7625357922762164,0.581460834502317,0.003927893695299049,0.09496594398823142
Evidence Std vs Evidence Median,evidence_median_score,evidence_std_score,12,-0.13578785741533062,0.4308217879197298,-0.5932207421901852,0.3519108489646741,0.04203366953630847,0.05827227632286576
Hit Rate vs Evidence Median,evidence_median_score,navigation_hit_rate,12,45.877966101694916,30.49661016949154,0.5636900246774936,0.3177464439209134,0.05629173002909391,21.25870036670259
ROI Precision vs Evidence Std,evidence_std_score,navigation_roi_precision,12,-1.383777741253133,0.7404572639930338,-0.5331092039781665,0.2842054233662344,0.07429721970053434,0.6944554038610832
MRfH vs Evidence Std,evidence_std_score,navigation_mrfh,12,-1.8010940957312338,1.0653852678265914,-0.49453963643518994,0.24456945200544986,0.10216849197305665,1.0009965224590793
MRfH vs Evidence Median,evidence_median_score,navigation_mrfh,12,0.38576949152542384,0.17764915254237273,0.46275164738510866,0.21413908715763194,0.1298061102919061,0.23369679118894218
Hit Rate vs Evidence Std,evidence_std_score,navigation_hit_rate,12,-162.67460069489326,119.41311756213429,-0.4575099571533862,0.2093153608944933,0.13478687780161724,99.98177665891659
Hit Rate vs Evidence Mean,evidence_mean_score,navigation_hit_rate,12,74.34716558797446,14.32723789915795,0.45044874324570794,0.2029040702916377,0.14169013804297637,46.59875700411001
Cost vs Evidence Median,evidence_median_score,navigation_cost,12,8.76253559322034,-1.3272406779661008,0.4445838690278357,0.19765481659975975,0.1475939719782262,5.582859764532209
Cost vs Evidence Std,evidence_std_score,navigation_cost,12,-35.240489709950694,17.00382989868934,-0.40927050612647037,0.16750234718501722,0.18645914043690368,24.84408435295492
Cost vs Evidence Mean,evidence_mean_score,navigation_cost,12,16.33056176823275,-5.919682396899277,0.4085731291767241,0.16693200188526008,0.18728459939344572,11.536433039321846
MRfH vs Evidence Mean,evidence_mean_score,navigation_mrfh,12,0.6593754435344801,0.017528011357493878,0.390029659813623,0.15212313553433046,0.21006552232251194,0.4922679117709822
ROI Precision vs Evidence Median,evidence_median_score,navigation_roi_precision,12,0.21406779661016945,0.12357966101694917,0.36029361950747535,0.12981149225779742,0.24995578385572748,0.17526751915051322
ROI Precision vs Evidence Mean,evidence_mean_score,navigation_roi_precision,12,0.42192638499183077,-0.004831899800943562,0.3501762496440571,0.12262340581477699,0.2644712268264533,0.35689710057229407
Cost vs Hit Rate,navigation_hit_rate,navigation_cost,12,0.04517907911969053,2.591051196819345,0.18656281547400605,0.03480568411758803,0.5615307472494728,0.07523495492735055
Cost vs MRfH,navigation_mrfh,navigation_cost,12,3.9888147183154468,3.682969716984392,0.16871266075414007,0.028463961898741556,0.6001677829844507,7.369289982929604
Cost vs ROI Precision,navigation_roi_precision,navigation_cost,12,-4.511669764270596,6.931911491086166,-0.13600534523821745,0.018497453933366718,0.6734179413408583,10.392667710558433
