method,task,Hit Rate,ROI Precision,MRFH,Cost,Final Accuracy
slide_seek,CAMELYON16_detection,0.083,0.0896,0.0451,0.3601,0.30434782608695654
slide_seek,TCGA_BRCA_subtype,0.86,0.3355,0.7058,1.4248,0.5483870967741935
slide_seek,TCGA_LUNG_Classification,0.86,0.359,0.6526,2.7215,0.4058479532163743
Pathology-CoT,CAMELYON16_detection,0.396,0.1386,0.2294,1.5461,0.4358974358974359
Pathology-CoT,TCGA_BRCA_subtype,0.857,0.5894,0.7435,1.8632,0.6989247311827957
Pathology-CoT,TCGA_LUNG_Classification,0.8420000000000001,0.6456,0.7749,1.4279,0.8041958041958042
PathAgent,CAMELYON16_detection,0.377,0.0204,0.0604,2.092,0.7446808510638298
PathAgent,TCGA_BRCA_subtype,0.7909999999999999,0.2857,0.4415,2.8165,0.6627906976744186
PathAgent,TCGA_LUNG_Classification,0.87,0.392,0.604,4.4249,0.6102117061021171
CPathAgent,CAMELYON16_detection,0.41700000000000004,0.0374,0.1777,13.592099999999999,0.9111111111111111
CPathAgent,TCGA_BRCA_subtype,0.8490000000000001,0.3027,0.6916,15.6752,0.6352941176470588
CPathAgent,TCGA_LUNG_Classification,0.816,0.3207,0.6701,19.3729,0.6309719934102141
