case,roi_rows,max_precision,mean_precision,max_recall,mean_recall,max_iou,mean_iou,any_hit,agg_precision,agg_recall,agg_iou,method,task,roi_source,correct,has_matching_correct
test_001,6,0.1756,0.04788333333333333,0.1066,0.0206,0.0711,0.014333333333333332,0,0.0595,0.1066,0.0397,CPathAgent,CAMELYON16_detection,/work/Agent_benchmark/CPathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_002,6,0.042,0.007,0.0246,0.0041,0.0158,0.0026333333333333334,1,0.0112,0.0246,0.0078,CPathAgent,CAMELYON16_detection,/work/Agent_benchmark/CPathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_004,14,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,CPathAgent,CAMELYON16_detection,/work/Agent_benchmark/CPathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_008,22,0.0374,0.0017000000000000001,0.2693,0.01224090909090909,0.0339,0.0015409090909090908,1,0.0032,0.2693,0.0032,CPathAgent,CAMELYON16_detection,/work/Agent_benchmark/CPathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_010,34,0.0022,0.00014411764705882352,0.18,0.011708823529411765,0.0021,0.0001411764705882353,1,0.0003,0.3723,0.0003,CPathAgent,CAMELYON16_detection,/work/Agent_benchmark/CPathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_011,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,CPathAgent,CAMELYON16_detection,/work/Agent_benchmark/CPathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_013,8,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,CPathAgent,CAMELYON16_detection,/work/Agent_benchmark/CPathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_016,6,0.3023,0.050383333333333336,0.0983,0.016383333333333333,0.0801,0.01335,0,0.0766,0.0983,0.045,CPathAgent,CAMELYON16_detection,/work/Agent_benchmark/CPathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_021,10,1.0,0.56569,0.0606,0.02009,0.0602,0.01977,1,0.4142,0.1388,0.116,CPathAgent,CAMELYON16_detection,/work/Agent_benchmark/CPathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_026,17,0.4446,0.060870588235294114,0.4245,0.05104117647058823,0.2774,0.031411764705882354,1,0.0857,0.8144,0.084,CPathAgent,CAMELYON16_detection,/work/Agent_benchmark/CPathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_027,10,0.0213,0.00213,0.1253,0.01253,0.0186,0.0018599999999999999,1,0.0036,0.1253,0.0035,CPathAgent,CAMELYON16_detection,/work/Agent_benchmark/CPathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_029,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,CPathAgent,CAMELYON16_detection,/work/Agent_benchmark/CPathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,,False
test_030,14,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,CPathAgent,CAMELYON16_detection,/work/Agent_benchmark/CPathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_033,15,0.0969,0.007513333333333333,0.2719,0.021079999999999998,0.0769,0.005913333333333334,1,0.0051,0.3161,0.0051,CPathAgent,CAMELYON16_detection,/work/Agent_benchmark/CPathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_038,108,0.0419,0.0005435185185185185,0.802,0.010405555555555557,0.0415,0.0005333333333333334,1,0.0007,1.0,0.0007,CPathAgent,CAMELYON16_detection,/work/Agent_benchmark/CPathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,,False
test_040,18,0.9553,0.21755000000000002,0.3027,0.06974444444444444,0.2496,0.05792777777777777,1,0.1962,0.9035,0.1922,CPathAgent,CAMELYON16_detection,/work/Agent_benchmark/CPathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,False,True
test_046,9,0.0077,0.0008555555555555556,1.0,0.1111111111111111,0.0077,0.0008555555555555556,1,0.0016,1.0,0.0016,CPathAgent,CAMELYON16_detection,/work/Agent_benchmark/CPathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_048,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,CPathAgent,CAMELYON16_detection,/work/Agent_benchmark/CPathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,,False
test_051,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,CPathAgent,CAMELYON16_detection,/work/Agent_benchmark/CPathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_052,11,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,CPathAgent,CAMELYON16_detection,/work/Agent_benchmark/CPathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,False,True
test_061,8,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,CPathAgent,CAMELYON16_detection,/work/Agent_benchmark/CPathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_064,12,0.0057,0.000475,1.0,0.08333333333333333,0.0057,0.000475,1,0.0008,1.0,0.0008,CPathAgent,CAMELYON16_detection,/work/Agent_benchmark/CPathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_065,7,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,CPathAgent,CAMELYON16_detection,/work/Agent_benchmark/CPathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_066,9,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,CPathAgent,CAMELYON16_detection,/work/Agent_benchmark/CPathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_068,18,0.392,0.029394444444444445,0.5188,0.03790555555555555,0.2875,0.020105555555555557,1,0.0452,0.643,0.0441,CPathAgent,CAMELYON16_detection,/work/Agent_benchmark/CPathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_069,4,0.037,0.00925,0.0022,0.00055,0.0021,0.000525,0,0.0037,0.0022,0.0014,CPathAgent,CAMELYON16_detection,/work/Agent_benchmark/CPathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_071,10,0.4472,0.09001,0.0596,0.01366,0.0555,0.01227,1,0.0549,0.1366,0.0408,CPathAgent,CAMELYON16_detection,/work/Agent_benchmark/CPathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_073,14,0.0267,0.0019142857142857143,0.0038,0.00027142857142857144,0.0034,0.00024285714285714283,0,0.0065,0.0038,0.0024,CPathAgent,CAMELYON16_detection,/work/Agent_benchmark/CPathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_074,26,0.0205,0.0009307692307692308,0.8619,0.03917307692307692,0.0204,0.000926923076923077,1,0.0013,1.0,0.0013,CPathAgent,CAMELYON16_detection,/work/Agent_benchmark/CPathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_075,15,0.5613,0.14556,0.2066,0.05276,0.166,0.041933333333333336,1,0.1794,0.7007,0.1666,CPathAgent,CAMELYON16_detection,/work/Agent_benchmark/CPathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_079,20,0.5537,0.057275,0.3921,0.04056,0.298,0.02964,1,0.096,0.7835,0.0935,CPathAgent,CAMELYON16_detection,/work/Agent_benchmark/CPathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_082,7,0.0821,0.016428571428571428,0.1018,0.02035714285714286,0.0476,0.009442857142857143,0,0.0231,0.1391,0.0202,CPathAgent,CAMELYON16_detection,/work/Agent_benchmark/CPathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_084,8,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,CPathAgent,CAMELYON16_detection,/work/Agent_benchmark/CPathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_090,16,1.0,0.29736875,0.0497,0.01395,0.0488,0.0136125,1,0.2377,0.2224,0.1298,CPathAgent,CAMELYON16_detection,/work/Agent_benchmark/CPathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_092,27,0.0711,0.002633333333333333,0.8506,0.03150370370370371,0.0703,0.0026037037037037036,1,0.0022,0.8506,0.0022,CPathAgent,CAMELYON16_detection,/work/Agent_benchmark/CPathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_094,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,CPathAgent,CAMELYON16_detection,/work/Agent_benchmark/CPathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_097,16,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,CPathAgent,CAMELYON16_detection,/work/Agent_benchmark/CPathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_099,21,0.1051,0.005004761904761905,0.798,0.038,0.1024,0.004876190476190477,1,0.0086,0.798,0.0086,CPathAgent,CAMELYON16_detection,/work/Agent_benchmark/CPathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,False,True
test_102,108,0.2732,0.004056481481481481,0.334,0.006691666666666667,0.1769,0.0027925925925925926,1,0.0035,0.6563,0.0035,CPathAgent,CAMELYON16_detection,/work/Agent_benchmark/CPathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_104,23,0.6957,0.0815304347826087,0.2249,0.02490869565217391,0.1672,0.019456521739130435,1,0.058,0.3869,0.0531,CPathAgent,CAMELYON16_detection,/work/Agent_benchmark/CPathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_105,12,1.0,0.4826333333333333,0.0493,0.017208333333333332,0.0492,0.01705833333333333,1,0.4663,0.2001,0.1628,CPathAgent,CAMELYON16_detection,/work/Agent_benchmark/CPathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_108,12,0.1252,0.0138,1.0,0.147875,0.1208,0.013433333333333334,1,0.0101,1.0,0.0101,CPathAgent,CAMELYON16_detection,/work/Agent_benchmark/CPathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_110,7,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,CPathAgent,CAMELYON16_detection,/work/Agent_benchmark/CPathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_113,15,1.0,0.21984666666666666,0.0437,0.010706666666666666,0.0437,0.01052,1,0.1427,0.1607,0.0817,CPathAgent,CAMELYON16_detection,/work/Agent_benchmark/CPathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_116,6,0.0758,0.0273,0.1357,0.03456666666666667,0.0511,0.014499999999999999,0,0.0252,0.1788,0.0226,CPathAgent,CAMELYON16_detection,/work/Agent_benchmark/CPathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_117,9,0.0031,0.0003444444444444444,1.0,0.1111111111111111,0.0031,0.0003444444444444444,1,0.0006,1.0,0.0006,CPathAgent,CAMELYON16_detection,/work/Agent_benchmark/CPathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,False,True
test_121,7,0.0238,0.006742857142857143,0.1065,0.030199999999999998,0.0198,0.005614285714285715,1,0.0097,0.2113,0.0094,CPathAgent,CAMELYON16_detection,/work/Agent_benchmark/CPathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_122,10,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,CPathAgent,CAMELYON16_detection,/work/Agent_benchmark/CPathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_001,29,0.4862,0.0185448275862069,0.0185,0.000706896551724138,0.0181,0.0006896551724137932,1,0.0185,0.0204,0.0098,PathAgent,CAMELYON16_detection,/work/Agent_benchmark/PathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_002,32,0.9432,0.029475,0.0003,9.375e-06,0.0003,9.375e-06,1,0.0589,0.0003,0.0003,PathAgent,CAMELYON16_detection,/work/Agent_benchmark/PathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_004,34,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,PathAgent,CAMELYON16_detection,/work/Agent_benchmark/PathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,False,True
test_008,68,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,PathAgent,CAMELYON16_detection,/work/Agent_benchmark/PathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
