case,method,task,threshold,roi_rows,hit_at_thr005,first_hit_rank_thr005,max_precision,mean_precision,max_precision_ge_thr005,mean_precision_ge_thr005,agg_precision,agg_recall,agg_iou,roi_source,correct,has_matching_correct
test_001,CPathAgent,CAMELYON16_detection,0.05,6,True,1.0,0.1756,0.04788333333333333,0.1756,0.14365,0.0595,0.1066,0.0397,/work/Agent_benchmark/CPathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_002,CPathAgent,CAMELYON16_detection,0.05,6,False,,0.042,0.007,,,0.0112,0.0246,0.0078,/work/Agent_benchmark/CPathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_004,CPathAgent,CAMELYON16_detection,0.05,14,False,,0.0,0.0,,,0.0,0.0,0.0,/work/Agent_benchmark/CPathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_008,CPathAgent,CAMELYON16_detection,0.05,22,False,,0.0374,0.0017000000000000001,,,0.0032,0.2693,0.0032,/work/Agent_benchmark/CPathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_010,CPathAgent,CAMELYON16_detection,0.05,34,False,,0.0022,0.00014411764705882354,,,0.0003,0.3723,0.0003,/work/Agent_benchmark/CPathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_011,CPathAgent,CAMELYON16_detection,0.05,1,False,,0.0,0.0,,,0.0,0.0,0.0,/work/Agent_benchmark/CPathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_013,CPathAgent,CAMELYON16_detection,0.05,8,False,,0.0,0.0,,,0.0,0.0,0.0,/work/Agent_benchmark/CPathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_016,CPathAgent,CAMELYON16_detection,0.05,6,True,3.0,0.3023,0.050383333333333336,0.3023,0.3023,0.0766,0.0983,0.045,/work/Agent_benchmark/CPathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_021,CPathAgent,CAMELYON16_detection,0.05,10,True,2.0,1.0,0.56569,1.0,0.7071125,0.4142,0.1388,0.116,/work/Agent_benchmark/CPathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_026,CPathAgent,CAMELYON16_detection,0.05,17,True,4.0,0.4446,0.060870588235294114,0.4446,0.20676,0.0857,0.8144,0.084,/work/Agent_benchmark/CPathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_027,CPathAgent,CAMELYON16_detection,0.05,10,False,,0.0213,0.00213,,,0.0036,0.1253,0.0035,/work/Agent_benchmark/CPathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_029,CPathAgent,CAMELYON16_detection,0.05,1,False,,0.0,0.0,,,0.0,0.0,0.0,/work/Agent_benchmark/CPathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,,False
test_030,CPathAgent,CAMELYON16_detection,0.05,14,False,,0.0,0.0,,,0.0,0.0,0.0,/work/Agent_benchmark/CPathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_033,CPathAgent,CAMELYON16_detection,0.05,15,True,1.0,0.0969,0.007513333333333333,0.0969,0.0969,0.0051,0.3161,0.0051,/work/Agent_benchmark/CPathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_038,CPathAgent,CAMELYON16_detection,0.05,108,False,,0.0419,0.0005435185185185186,,,0.0007,1.0,0.0007,/work/Agent_benchmark/CPathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,,False
test_040,CPathAgent,CAMELYON16_detection,0.05,18,True,6.0,0.9553,0.21755,0.9553,0.4322333333333333,0.1962,0.9035,0.1922,/work/Agent_benchmark/CPathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,False,True
test_046,CPathAgent,CAMELYON16_detection,0.05,9,False,,0.0077,0.0008555555555555556,,,0.0016,1.0,0.0016,/work/Agent_benchmark/CPathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_048,CPathAgent,CAMELYON16_detection,0.05,1,False,,0.0,0.0,,,0.0,0.0,0.0,/work/Agent_benchmark/CPathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,,False
test_051,CPathAgent,CAMELYON16_detection,0.05,1,False,,0.0,0.0,,,0.0,0.0,0.0,/work/Agent_benchmark/CPathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_052,CPathAgent,CAMELYON16_detection,0.05,11,False,,0.0,0.0,,,0.0,0.0,0.0,/work/Agent_benchmark/CPathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,False,True
test_061,CPathAgent,CAMELYON16_detection,0.05,8,False,,0.0,0.0,,,0.0,0.0,0.0,/work/Agent_benchmark/CPathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_064,CPathAgent,CAMELYON16_detection,0.05,12,False,,0.0057,0.000475,,,0.0008,1.0,0.0008,/work/Agent_benchmark/CPathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_065,CPathAgent,CAMELYON16_detection,0.05,7,False,,0.0,0.0,,,0.0,0.0,0.0,/work/Agent_benchmark/CPathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_066,CPathAgent,CAMELYON16_detection,0.05,9,False,,0.0,0.0,,,0.0,0.0,0.0,/work/Agent_benchmark/CPathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_068,CPathAgent,CAMELYON16_detection,0.05,18,True,12.0,0.392,0.029394444444444445,0.392,0.16880000000000003,0.0452,0.643,0.0441,/work/Agent_benchmark/CPathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_069,CPathAgent,CAMELYON16_detection,0.05,4,False,,0.037,0.00925,,,0.0037,0.0022,0.0014,/work/Agent_benchmark/CPathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_071,CPathAgent,CAMELYON16_detection,0.05,10,True,3.0,0.4472,0.09001,0.4472,0.3000333333333333,0.0549,0.1366,0.0408,/work/Agent_benchmark/CPathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_073,CPathAgent,CAMELYON16_detection,0.05,14,False,,0.0267,0.0019142857142857143,,,0.0065,0.0038,0.0024,/work/Agent_benchmark/CPathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_074,CPathAgent,CAMELYON16_detection,0.05,26,False,,0.0205,0.0009307692307692308,,,0.0013,1.0,0.0013,/work/Agent_benchmark/CPathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_075,CPathAgent,CAMELYON16_detection,0.05,15,True,6.0,0.5613,0.14556,0.5613,0.42028,0.1794,0.7007,0.1666,/work/Agent_benchmark/CPathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_079,CPathAgent,CAMELYON16_detection,0.05,20,True,9.0,0.5537,0.057275,0.5537,0.37493333333333334,0.096,0.7835,0.0935,/work/Agent_benchmark/CPathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_082,CPathAgent,CAMELYON16_detection,0.05,7,True,4.0,0.0821,0.016428571428571428,0.0821,0.0821,0.0231,0.1391,0.0202,/work/Agent_benchmark/CPathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_084,CPathAgent,CAMELYON16_detection,0.05,8,False,,0.0,0.0,,,0.0,0.0,0.0,/work/Agent_benchmark/CPathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_090,CPathAgent,CAMELYON16_detection,0.05,16,True,3.0,1.0,0.29736875,1.0,0.6794571428571429,0.2377,0.2224,0.1298,/work/Agent_benchmark/CPathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_092,CPathAgent,CAMELYON16_detection,0.05,27,True,17.0,0.0711,0.002633333333333333,0.0711,0.0711,0.0022,0.8506,0.0022,/work/Agent_benchmark/CPathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
