method,task,correct,n,hit_rate_thr005,mean_first_hit_rank_thr005,median_first_hit_rank_thr005,mean_max_precision,mean_agg_precision,hit_rate_thr005_diff_correct_minus_incorrect,mean_first_hit_rank_thr005_diff_correct_minus_incorrect,mean_max_precision_diff_correct_minus_incorrect,mean_agg_precision_diff_correct_minus_incorrect
CPathAgent,CAMELYON16_detection,False,4,0.5,9.5,9.5,0.26587500000000003,0.05135000000000001,-0.06097560975609756,-3.6111111111111107,-0.05804573170731708,-0.0019036585365853759
CPathAgent,CAMELYON16_detection,True,41,0.43902439024390244,5.888888888888889,3.0,0.20782926829268294,0.04944634146341463,-0.06097560975609756,-3.6111111111111107,-0.05804573170731708,-0.0019036585365853759
PathAgent,CAMELYON16_detection,False,12,0.25,8.333333333333334,9.0,0.16756666666666667,0.0168,0.26428571428571423,10.055555555555555,0.1646247619047619,0.014011428571428574
PathAgent,CAMELYON16_detection,True,35,0.5142857142857142,18.38888888888889,16.5,0.3321914285714286,0.030811428571428573,0.26428571428571423,10.055555555555555,0.1646247619047619,0.014011428571428574
Pathology-CoT,CAMELYON16_detection,False,22,0.4090909090909091,3.0,2.0,0.2493090909090909,0.09405454545454545,0.061497326203208524,0.375,0.06754973262032085,-0.008495721925133676
Pathology-CoT,CAMELYON16_detection,True,17,0.47058823529411764,3.375,2.5,0.31685882352941175,0.08555882352941177,0.061497326203208524,0.375,0.06754973262032085,-0.008495721925133676
slide_seek,CAMELYON16_detection,False,16,0.25,2.25,2.5,0.16096249999999998,0.06540625,-0.25,,-0.16096249999999998,-0.06540625
slide_seek,CAMELYON16_detection,True,7,0.0,,,0.0,0.0,-0.25,,-0.16096249999999998,-0.06540625
CPathAgent,TCGA_BRCA_subtype,False,31,0.9354838709677419,2.3793103448275863,1.0,0.7712032258064516,0.314858064516129,-0.009557945041815952,-0.8793103448275863,0.05926899641577066,0.024110454002389536
CPathAgent,TCGA_BRCA_subtype,True,54,0.9259259259259259,1.5,1.0,0.8304722222222223,0.33896851851851856,-0.009557945041815952,-0.8793103448275863,0.05926899641577066,0.024110454002389536
PathAgent,TCGA_BRCA_subtype,False,29,0.7241379310344828,5.476190476190476,2.0,0.5493517241379311,0.22540689655172413,0.10042347247428918,-1.2634245187436681,0.06338687235329699,0.054270296430732
PathAgent,TCGA_BRCA_subtype,True,57,0.8245614035087719,4.212765957446808,2.0,0.6127385964912281,0.27967719298245614,0.10042347247428918,-1.2634245187436681,0.06338687235329699,0.054270296430732
Pathology-CoT,TCGA_BRCA_subtype,False,28,0.7857142857142857,1.4545454545454546,1.0,0.757225,0.5888071428571429,0.09120879120879122,-0.15629984051036683,0.044578076923076804,0.08065593406593397
Pathology-CoT,TCGA_BRCA_subtype,True,65,0.8769230769230769,1.2982456140350878,1.0,0.8018030769230768,0.6694630769230768,0.09120879120879122,-0.15629984051036683,0.044578076923076804,0.08065593406593397
slide_seek,TCGA_BRCA_subtype,False,42,0.8809523809523809,1.945945945945946,1.0,0.8567309523809524,0.4456166666666667,-0.037815126050420145,0.4261470773098681,-0.053225070028011245,0.0453715686274509
slide_seek,TCGA_BRCA_subtype,True,51,0.8431372549019608,2.372093023255814,1.0,0.8035058823529412,0.4909882352941176,-0.037815126050420145,0.4261470773098681,-0.053225070028011245,0.0453715686274509
CPathAgent,TCGA_LUNG_Classification,False,224,0.90625,1.6650246305418719,1.0,0.7077004464285714,0.2865553571428571,0.03891971279373363,0.11398089432000647,0.10095542824505777,0.042940987504662465
CPathAgent,TCGA_LUNG_Classification,True,383,0.9451697127937336,1.7790055248618784,1.0,0.8086558746736292,0.3294963446475196,0.03891971279373363,0.11398089432000647,0.10095542824505777,0.042940987504662465
PathAgent,TCGA_LUNG_Classification,False,313,0.8722044728434505,2.857142857142857,1.0,0.7408814696485624,0.4111261980830671,-0.00281671774140968,0.6311200536552648,-0.013224939036317496,-0.024603340940209995
PathAgent,TCGA_LUNG_Classification,True,490,0.8693877551020408,3.488262910798122,1.0,0.7276565306122449,0.3865228571428571,-0.00281671774140968,0.6311200536552648,-0.013224939036317496,-0.024603340940209995
Pathology-CoT,TCGA_LUNG_Classification,False,168,0.8273809523809523,1.2949640287769784,1.0,0.784239880952381,0.6787583333333334,0.017546583850931774,-0.0462504781766353,0.012770119047619155,0.009317898550724624
Pathology-CoT,TCGA_LUNG_Classification,True,690,0.8449275362318841,1.248713550600343,1.0,0.7970100000000001,0.688076231884058,0.017546583850931774,-0.0462504781766353,0.012770119047619155,0.009317898550724624
slide_seek,TCGA_LUNG_Classification,False,508,0.844488188976378,4.128205128205129,1.0,0.8131244094488189,0.4483064960629921,0.04600172456829055,-1.4744834453572322,0.0452090199459938,0.12223125609839114
slide_seek,TCGA_LUNG_Classification,True,347,0.8904899135446686,2.6537216828478964,1.0,0.8583334293948127,0.5705377521613832,0.04600172456829055,-1.4744834453572322,0.0452090199459938,0.12223125609839114
