method,task,correct,n,mean_agg_precision,mean_agg_recall,mean_agg_iou,mean_max_precision,mean_mean_precision,mean_any_hit,median_agg_precision,median_agg_recall,median_agg_iou,median_max_precision,median_mean_precision,median_any_hit,mean_agg_precision_diff_correct_minus_incorrect
CPathAgent,CAMELYON16_detection,False,4,0.05135000000000001,0.6753750000000001,0.050350000000000006,0.26587500000000003,0.055724801587301594,1.0,0.0046,0.85075,0.0046,0.0541,0.0026746031746031746,1.0,-0.0019036585365853759
CPathAgent,CAMELYON16_detection,True,41,0.04944634146341463,0.2815048780487805,0.028109756097560976,0.20782926829268294,0.054422443634055115,0.8292682926829268,0.0036,0.1388,0.0032,0.037,0.002633333333333333,1.0,-0.0019036585365853759
PathAgent,CAMELYON16_detection,False,12,0.0168,0.03335833333333333,0.0074333333333333335,0.16756666666666667,0.011762761994949494,0.4166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.014011428571428574
PathAgent,CAMELYON16_detection,True,35,0.030811428571428573,0.027997142857142856,0.008422857142857143,0.3321914285714286,0.029096534194698327,0.42857142857142855,0.0025,0.0059,0.0006,0.051,0.0014166666666666666,0.0,0.014011428571428574
Pathology-CoT,CAMELYON16_detection,False,22,0.09405454545454545,0.08335000000000001,0.017949999999999997,0.2493090909090909,0.10145295454545455,0.45454545454545453,0.00635,0.012,0.0023,0.018250000000000002,0.003195,0.0,-0.008495721925133676
Pathology-CoT,CAMELYON16_detection,True,17,0.08555882352941177,0.08095882352941176,0.026623529411764706,0.31685882352941175,0.09221343604108309,0.4117647058823529,0.0,0.0,0.0,0.0,0.0,0.0,-0.008495721925133676
slide_seek,CAMELYON16_detection,False,16,0.06540625,0.00849375,0.0071625000000000005,0.16096249999999998,0.053277083333333336,0.1875,0.0,0.0,0.0,0.0,0.0,0.0,-0.06540625
slide_seek,CAMELYON16_detection,True,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06540625
CPathAgent,TCGA_BRCA_subtype,False,31,0.314858064516129,0.26985483870967747,0.14241612903225806,0.7712032258064516,0.3289574552434704,0.5806451612903226,0.2396,0.2533,0.1259,0.8447,0.28675,1.0,0.024110454002389536
CPathAgent,TCGA_BRCA_subtype,True,54,0.33896851851851856,0.2677333333333333,0.14896296296296296,0.8304722222222223,0.379927822523023,0.6111111111111112,0.325,0.21175,0.1293,1.0,0.36847583333333334,1.0,0.024110454002389536
PathAgent,TCGA_BRCA_subtype,False,29,0.22540689655172413,0.025724137931034483,0.023244827586206898,0.5493517241379311,0.22540713854482353,0.06896551724137931,0.1122,0.0136,0.0129,0.7893,0.11223333333333334,0.0,0.054270296430732
PathAgent,TCGA_BRCA_subtype,True,57,0.27967719298245614,0.044340350877192986,0.04085438596491228,0.6127385964912281,0.27990854017724,0.017543859649122806,0.1605,0.0209,0.0189,0.7113,0.16047142857142857,0.0,0.054270296430732
Pathology-CoT,TCGA_BRCA_subtype,False,28,0.5888071428571429,0.041632142857142854,0.0307,0.757225,0.5824029875283446,0.14285714285714285,0.6611,0.025050000000000003,0.024399999999999998,1.0,0.5638807142857143,0.0,0.08065593406593397
